,DC
1354,1.0
1355,6.0
1356,1.0
1357,4.0
1358,0.0
1359,2.0
1360,1.0
1361,0.0
1362,5.0
1363,2.0
1364,0.0
1365,2.0
1366,2.0
1367,1.6
1368,0.0
1369,3.4
1370,1.25
1371,1.0
1372,7.0
1373,0.0
1374,0.0
1375,9.0
1376,2.0
1377,5.2
1378,1.0
1379,3.4
1380,4.2
1381,1.25
1382,40.5
1383,36.6
1384,2.2
1385,1.2
1386,3.0
1387,0.0
1388,1.0
1389,0.0
1390,1.4
1391,0.0
1392,0.0
1393,3.0
1394,6.6
1395,0.0
1396,6.2
1397,1.0
1398,1.0
1399,2.6
1400,5.2
1401,0.0
1402,0.0
1403,2.2
1404,6.6
1405,1.0
1406,6.8
1407,0.0
1408,20.4
1409,5.6
1410,22.8
1411,3.0
1412,20.8
1413,4.0
1414,1.0
1415,0.0
1416,45.4
1417,2.0
1418,2.0
1419,0.0
1420,5.0
1421,3.0
1422,1.0
1423,28.8
1424,20.4
1425,4.0
1426,1.0
1427,11.6
1428,2.6
1429,4.4
1430,65.0
1431,0.0
1432,0.0
1433,0.0
1434,1.0
1435,2.0
1436,0.0
1437,1.0
1438,2.0
1439,0.0
1440,26.0
1441,1.6
1442,18.8
1443,6.2
1444,1.0
1445,2.0
1446,0.0
1447,2.0
1448,2.0
1449,6.0
1450,0.0
1451,8.8
1452,4.2
1453,1.0
1454,0.0
1455,0.0
1456,21.6
1457,4.6
1458,0.0
1459,9.4
1460,36.2
1461,1.2
1462,11.0
1463,1.0
1464,1.0
1465,1.0
1466,25.0
1467,26.2
1468,17.4
1469,3.0
1470,0.0
1471,1.0
1472,0.0
1473,0.0
1474,11.6
1475,1.0
1476,0.0
1477,0.0
1478,0.0
1479,1.0
1480,1.0
1481,1.0
1482,0.0
1483,1.0
1484,4.0
1485,0.0
1486,2.0
1487,1.2
1488,4.0
1489,0.0
1490,19.2
1491,6.8
1492,1.0
1493,0.0
1494,1.8
1495,2.0
1496,3.6
1497,0.0
1498,1.0
1499,8.75
1500,3.0
1501,30.2
1502,0.0
1503,3.0
1504,3.2
1505,3.6
1506,3.6
1507,4.4
1508,3.0
1509,5.0
1510,1.2
1511,1.0
1512,3.8
1513,0.0
1514,1.0
1515,2.0
1516,0.0
1517,1.0
1518,1.0
1519,0.0
1520,12.0
1521,0.0
1522,5.6
1523,2.0
1524,0.0
1525,1.0
1526,6.0
1527,1.8
1528,5.0
1529,5.0
1530,1.2
1531,1.0
1532,1.0
1533,0.0
1534,1.6
1535,1.0
1536,1.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,1.0
1543,0.0
1544,0.0
1545,0.0
1546,3.0
1547,11.0
1548,5.0
1549,0.0
1550,0.0
1551,0.0
1552,7.4
1553,3.0
1554,3.0
1555,0.0
1556,1.0
1557,4.0
1558,2.0
1559,6.6
1560,1.0
1561,0.0
1562,0.0
1563,2.6
1564,16.4
1565,1.0
1566,45.2
1567,1.6
1568,4.8
1569,67.2
1570,1.0
1571,0.0
1572,7.6
1573,1.0
1574,0.0
1575,6.2
1576,6.0
1577,11.0
1578,1.0
1579,1.0
1580,10.2
1581,2.2
1582,1.8
1583,0.0
1584,1.0
1585,3.0
1586,2.2
1587,0.0
1588,0.0
1589,4.0
1590,11.4
1591,0.0
1592,1.0
1593,1.8
1594,1.0
1595,0.0
1596,7.8
1597,13.0
1598,2.0
1599,0.0
1600,7.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,1.6
1607,1.0
1608,4.4
1609,1.0
1610,1.0
1611,25.4
1612,0.0
1613,2.4
1614,3.8
1615,0.0
1616,1.0
1617,5.8
1618,3.0
1619,1.6
1620,0.0
1621,0.0
1622,1.0
1623,1.0
1624,7.8
1625,1.0
1626,0.0
1627,0.0
1628,1.0
1629,0.0
1630,5.8
1631,1.8
1632,13.8
1633,1.0
1634,0.0
1635,8.0
1636,18.0
1637,1.0
1638,15.0
1639,1.0
1640,2.8
1641,2.0
1642,0.0
1643,2.0
1644,7.2
1645,0.0
1646,7.6
1647,10.2
1648,5.0
1649,1.0
1650,0.0
1651,0.0
1652,5.4
1653,0.0
1654,1.0
1655,22.0
1656,2.6
1657,0.0
1658,1.0
1659,1.0
1660,4.8
1661,1.0
1662,0.0
1663,2.0
1664,4.8
1665,1.0
1666,2.8
1667,1.6666666666666667
1668,5.0
1669,0.0
1670,8.0
1671,1.6666666666666667
1672,15.8
1673,1.4
1674,1.6
1675,5.0
1676,1.0
1677,6.0
1678,1.0
1679,10.0
1680,12.0
1681,1.0
1682,14.2
1683,4.0
1684,2.8
1685,1.0
1686,15.4
1687,21.8
1688,1.4
1689,1.0
1690,9.0
1691,5.8
1692,1.0
1693,1.0
1694,14.0
1695,0.0
1696,5.8
1697,6.0
1698,1.0
1699,1.0
1700,49.2
1701,3.8
1702,7.0
1703,10.6
1704,1.4
1705,1.0
1706,5.6
1707,6.4
1708,30.8
1709,1.0
1710,1.0
1711,0.0
1712,0.0
1713,1.0
1714,0.0
1715,6.0
1716,1.0
1717,0.0
1718,0.0
1719,1.0
1720,3.0
1721,6.0
1722,8.2
1723,1.0
1724,1.0
1725,0.0
1726,2.0
1727,11.2
1728,6.0
1729,1.75
1730,4.8
1731,1.0
1732,2.8
1733,0.0
1734,1.0
1735,2.0
1736,5.6
1737,2.6
1738,12.0
1739,24.0
1740,4.2
1741,2.2
1742,1.0
1743,5.0
1744,2.4
1745,3.5
1746,33.4
1747,1.0
1748,1.0
1749,2.0
1750,0.0
1751,1.0
1752,0.0
1753,29.8
1754,4.0
1755,4.8
1756,12.6
1757,8.4
1758,9.0
1759,12.0
1760,14.4
1761,4.0
1762,1.8
1763,0.0
1764,22.4
1765,9.0
1766,1.0
1767,1.8
1768,17.2
1769,5.8
1770,1.0
1771,0.0
1772,4.0
1773,1.0
1774,2.0
1775,1.6666666666666667
1776,1.8
1777,5.0
1778,0.0
1779,4.4
1780,0.0
1781,1.8
1782,8.2
1783,2.0
1784,5.2
1785,10.4
1786,1.0
1787,3.0
1788,11.0
1789,4.6
1790,1.0
1791,7.0
1792,0.0
1793,0.0
1794,9.6
1795,0.0
1796,2.0
1797,1.0
1798,1.0
1799,3.6
1800,1.8
1801,1.0
1802,0.0
1803,3.2
1804,7.6
1805,1.0
1806,3.2
1807,1.6
1808,15.2
1809,2.4
1810,2.8
1811,6.8
1812,1.0
1813,6.8
1814,4.8
1815,16.0
1816,4.0
1817,3.0
1818,2.8
1819,2.4
1820,3.0
1821,1.0
1822,2.0
1823,2.6
1824,1.0
1825,1.0
1826,1.0
1827,1.0
1828,1.0
1829,1.75
1830,3.0
1831,0.0
1832,1.0
1833,1.0
1834,2.0
1835,0.0
1836,40.6
1837,1.0
1838,1.0
1839,0.0
1840,1.0
1841,4.0
1842,4.0
1843,2.6
1844,0.0
1845,10.0
1846,1.0
1847,3.8
1848,1.0
1849,2.6
1850,2.6
1851,6.8
1852,2.8
1853,0.0
1854,1.0
1855,0.0
1856,1.6
1857,1.0
1858,0.0
1859,4.0
1860,0.0
1861,2.0
1862,0.0
1863,2.0
1864,3.6
1865,3.6
1866,2.0
1867,21.6
1868,4.0
1869,0.0
1870,1.6
1871,3.0
1872,2.0
1873,2.0
1874,3.0
1875,0.0
1876,8.6
1877,2.8
1878,0.0
1879,0.0
1880,4.4
1881,0.0
1882,7.6
1883,46.0
1884,21.0
1885,14.6
1886,7.0
1887,13.0
1888,17.0
1889,2.0
1890,2.6
1891,1.4
1892,1.0
1893,1.6
1894,30.8
1895,25.2
1896,1.0
1897,1.0
1898,1.8
1899,4.4
1900,1.0
1901,2.0
1902,15.0
1903,1.0
1904,1.0
1905,4.0
1906,1.6
1907,24.0
1908,17.8
1909,0.0
1910,1.0
1911,4.0
1912,1.0
1913,0.0
1914,1.0
1915,2.6
1916,5.0
1917,2.0
1918,1.0
1919,0.0
1920,3.0
1921,8.6
1922,1.8
1923,24.0
1924,0.0
1925,2.0
1926,6.0
1927,2.8
1928,0.0
1929,0.0
1930,1.0
1931,5.4
1932,0.0
1933,0.0
1934,1.0
1935,1.0
1936,1.0
1937,3.4
1938,1.0
1939,0.0
1940,6.0
1941,12.0
1942,0.0
1943,7.0
1944,2.0
1945,3.0
1946,0.0
1947,0.0
1948,0.0
1949,22.6
1950,5.0
1951,2.0
1952,2.6
1953,3.0
1954,1.0
1955,1.6
1956,1.0
1957,0.0
1958,13.8
1959,3.8
1960,2.0
1961,0.0
1962,1.0
1963,2.0
1964,6.2
1965,0.0
1966,0.0
1967,1.8
1968,4.0
1969,1.0
1970,6.4
1971,2.0
1972,4.6
1973,1.0
1974,4.2
1975,0.0
1976,2.0
1977,1.0
1978,13.4
1979,4.4
1980,0.0
1981,2.0
1982,1.6
1983,6.4
1984,1.0
1985,2.0
1986,2.8
1987,0.0
1988,1.5
1989,0.0
1990,1.0
1991,2.0
1992,0.0
1993,2.4
1994,1.0
1995,1.6
1996,1.0
1997,3.0
1998,3.0
1999,0.0
2000,50.4
2001,1.0
2002,0.0
2003,2.6
2004,3.0
2005,2.6
2006,1.2
2007,1.0
2008,3.8
2009,0.0
2010,3.2
2011,0.0
2012,10.0
2013,3.0
2014,2.0
2015,0.0
2016,1.0
2017,2.0
2018,6.0
2019,6.0
2020,9.0
2021,6.2
2022,1.6
2023,0.0
2024,0.0
2025,16.2
2026,3.0
2027,1.0
2028,7.8
2029,0.0
2030,0.0
2031,13.4
2032,0.0
2033,11.0
2034,1.75
2035,0.0
2036,1.2
2037,1.0
2038,12.0
2039,3.6
2040,20.4
2041,2.0
2042,2.0
2043,1.0
2044,10.0
2045,9.2
2046,2.8
2047,3.4
2048,1.2
2049,23.8
2050,2.0
2051,1.0
2052,0.0
2053,4.6
2054,0.0
2055,3.4
2056,0.0
2057,0.0
2058,1.0
2059,0.0
2060,6.0
2061,0.0
2062,0.0
2063,1.0
2064,0.0
2065,1.0
2066,3.4
2067,0.0
2068,0.0
2069,0.0
2070,31.0
2071,9.2
2072,14.0
2073,1.0
2074,6.0
2075,16.4
2076,1.8
2077,1.2
2078,3.2
2079,3.4
2080,1.0
2081,1.0
2082,0.0
2083,4.8
2084,2.8
2085,4.0
2086,1.0
2087,2.0
2088,2.4
2089,3.8
2090,0.0
2091,2.8
2092,2.0
2093,1.0
2094,1.0
2095,3.6
2096,2.0
2097,0.0
2098,0.0
2099,0.0
2100,4.0
2101,1.0
2102,0.0
2103,0.0
2104,28.4
2105,2.0
2106,4.0
2107,2.2
2108,0.0
2109,0.0
2110,34.0
2111,0.0
2112,1.0
2113,0.0
2114,1.0
2115,0.0
2116,2.0
2117,8.0
2118,1.0
2119,0.0
2120,1.0
2121,1.0
2122,2.0
2123,4.6
2124,2.8
2125,2.6
