ID,D6N
1694,1.5
1695,15
1696,2
1697,7.2
1698,6
1699,1
1700,1
1701,49.83333333
1702,3.833333333
1703,7
1704,10.66666667
1705,1.833333333
1706,1
1707,5.333333333
1708,7.166666667
1709,39.5
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,5.833333333
1717,1
1718,1
1719,0
1720,1.833333333
1721,2
1722,6
1723,8.333333333
1724,1
1725,1
1726,0
1727,2.666666667
1728,12
1729,8
1730,1.75
1731,9.666666667
1732,1
1733,3.166666667
1734,0
1735,1
1736,1.833333333
1737,5.5
1738,2.833333333
1739,11.5
1740,24.33333333
1741,3.833333333
1742,2
1743,1
1744,5.2
1745,4.166666667
1746,4.5
1747,35.5
1748,1
1749,1
1750,1.833333333
1751,0
1752,1
1753,1
1754,33.16666667
1755,4
1756,5.5
1757,14.5
1758,9.5
1759,10
1760,13
1761,15
1762,4
1763,1.666666667
1764,1.5
1765,21.16666667
1766,11.16666667
1767,3.333333333
1768,2.333333333
1769,18.33333333
1770,6.666666667
1771,1
1772,0
1773,4
1774,1
1775,2.166666667
1776,1.666666667
1777,1.8
1778,5
1779,1
1780,5.166666667
1781,0
1782,2
1783,11.83333333
1784,2
1785,5
1786,10
1787,1
1788,3
1789,18.5
1790,4.5
1791,1.666666667
1792,7.166666667
1793,1.166666667
1794,0
1795,9.5
1796,14
1797,1.833333333
1798,1
1799,2
1800,3.333333333
1801,1.666666667
1802,2
1803,2
1804,3.166666667
1805,7.166666667
1806,1
1807,3.666666667
1808,2.166666667
1809,16.16666667
1810,2.5
1811,2.666666667
1812,7
1813,1
1814,6.666666667
1815,5.666666667
1816,16.66666667
1817,2.5
1818,2.833333333
1819,2.666666667
1820,2.666666667
1821,6
1822,1
1823,2.666666667
1824,3.5
1825,1
1826,1
1827,2
1828,1
1829,1
1830,2
1831,2.5
1832,0
1833,1
1834,1
1835,3
1836,0
1837,49.66666667
1838,1
1839,1
1840,0
1841,1
1842,4.333333333
1843,4.333333333
1844,2.333333333
1845,1
1846,15.33333333
1847,1
1848,3.833333333
1849,1
1850,2.333333333
1851,2.333333333
1852,7
1853,2.666666667
1854,6.5
1855,1.5
1856,0
1857,2.166666667
1858,1
1859,0
1860,3.5
1861,2
1862,2.5
1863,1
1864,2
1865,3.5
1866,3.5
1867,2
1868,21.16666667
1869,4
1870,1
1871,1.5
1872,3
1873,2
1874,3.166666667
1875,3
1876,2.5
1877,9.166666667
1878,3.166666667
1879,0
1880,0
1881,4.333333333
1882,0
1883,7.666666667
1884,46.6
1885,22.5
1886,18.5
1887,8.166666667
1888,13.33333333
1889,17.33333333
1890,2.5
1891,2.833333333
1892,1.4
1893,1
1894,1.5
1895,29.5
1896,25
1897,1.833333333
1898,1
1899,1.666666667
1900,5.166666667
1901,1
1902,2
1903,14.83333333
1904,1
1905,1
1906,4.666666667
1907,1.5
1908,29.16666667
1909,16.83333333
1910,0
1911,1
1912,3.5
1913,1
1914,1
1915,1
1916,2.833333333
1917,5
1918,2
1919,1
1920,0
1921,3
1922,8.333333333
1923,2
1924,31.5
1925,0
1926,2
1927,5.833333333
1928,2.5
1929,0
1930,0
1931,1
1932,7.833333333
1933,0
1934,0
1935,1
1936,1
1937,1
1938,3.5
1939,1
1940,0
1941,8.8
1942,11.83333333
1943,0
1944,7.5
1945,2
1946,3
1947,0
1948,0
1949,0
1950,23.66666667
1951,5.666666667
1952,1.5
1953,2.5
1954,2.5
1955,1
1956,1.333333333
1957,1
1958,0
1959,14.33333333
1960,4.5
1961,2
1962,0
1963,1
1964,5
1965,5.833333333
1966,0
1967,1
1968,1.666666667
1969,5.833333333
1970,1
1971,7.5
1972,1.833333333
1973,5.333333333
1974,1.5
1975,4.2
1976,2
1977,1.5
1978,1
1979,13.66666667
1980,4.5
1981,1
1982,1.833333333
1983,1.5
1984,5.833333333
1985,1
1986,2.166666667
1987,2.833333333
1988,1
1989,2.333333333
1990,0
1991,1
1992,2
1993,2
1994,2.166666667
1995,2
1996,1.5
1997,1
1998,2.5
1999,3
2000,0
2001,51.66666667
2002,1
2003,9.666666667
2004,2.5
2005,3
2006,2.5
2007,1.333333333
2008,1
2009,3.666666667
2010,1
2011,3
2012,0
2013,10.75
2014,2.833333333
2015,2
2016,0
2017,1
2018,2
2019,6.166666667
2020,6.6
2021,8.5
2022,5.666666667
2023,1.5
2024,1
2025,1
2026,15.16666667
2027,2.833333333
2028,1.75
2029,7.666666667
2030,0
2031,1
2032,13.83333333
2033,3.75
2034,14
2035,2
2036,0
2037,1
2038,1
2039,14.33333333
2040,4
2041,28.66666667
2042,1.833333333
2043,3
2044,1
2045,9.666666667
2046,11
2047,2.666666667
2048,4.5
2049,1.666666667
2050,23.16666667
2051,1.4
2052,1
2053,1
2054,4.5
2055,0
2056,3.666666667
2057,1
2058,8
2059,1
2060,0
2061,5.166666667
2062,4
2063,0
2064,1
2065,0
2066,1
2067,3.166666667
2068,0
2069,0
2070,0
2071,37.33333333
2072,9.5
2073,16.66666667
2074,1
2075,5.833333333
2076,17.83333333
2077,1.666666667
2078,2
2079,3
2080,3.5
2081,1
2082,1
2083,0
2084,4.666666667
2085,3
2086,3.833333333
2087,2.333333333
2088,1.75
2089,2.666666667
2090,4.166666667
2091,0
2092,4
2093,2.5
2094,1
2095,1
2096,6.333333333
2097,2
2098,0
2099,0
2100,14
2101,4.5
2102,1
2103,0
2104,0
2105,28.33333333
2106,2
2107,4
2108,3
2109,0
2110,1
2111,34.5
2112,0
2113,1
2114,0
2115,1
2116,0
2117,2
2118,9.333333333
2119,5.5
2120,0
2121,1
2122,1
2123,3
2124,4.333333333
2125,3.2
2126,4.166666667
2127,2.333333333
2128,42.33333333
2129,0
2130,4.6
2131,15
2132,2.5
2133,6.5
2134,1.666666667
2135,1.4
2136,13.5
2137,12.6
2138,0
2139,61.16666667
2140,1
2141,2
2142,10.5
2143,2.833333333
2144,3.5
2145,1
2146,1.333333333
2147,1
2148,0
2149,2
2150,18
2151,3.4
2152,1.5
2153,3.666666667
2154,1
2155,0
2156,1
2157,1.6
2158,0
2159,0
2160,0
2161,24.16666667
2162,0
2163,0
2164,0
2165,11.83333333
2166,1
2167,7.833333333
2168,6.833333333
2169,0
2170,1
2171,6.2
2172,1.666666667
2173,27.5
2174,1
2175,1.833333333
2176,8.833333333
2177,0
2178,0
2179,1
2180,0
2181,3
2182,1
2183,2.666666667
2184,3.666666667
2185,6.5
2186,1.5
2187,2
2188,3
2189,0
2190,4.666666667
2191,30.66666667
2192,1.833333333
2193,9.166666667
2194,2
2195,10.66666667
2196,0
2197,6.833333333
2198,17
2199,5
2200,0
2201,1
2202,5.5
2203,0
2204,2
2205,1.666666667
2206,27.66666667
2207,1
2208,10.16666667
2209,4.5
2210,2.666666667
2211,1
2212,23.33333333
2213,1.5
2214,1
2215,5.833333333
2216,2.833333333
2217,1.666666667
2218,2
2219,127.5
2220,5.166666667
2221,1
2222,1
2223,6.833333333
2224,12.83333333
2225,4.5
2226,6.166666667
2227,5.833333333
2228,3.333333333
2229,1
2230,0
2231,2
2232,5.333333333
2233,1.666666667
2234,1
2235,17.33333333
2236,2
2237,22.5
2238,1
2239,4.25
2240,0
2241,13.16666667
2242,12.66666667
2243,0
2244,2
2245,2
2246,1
2247,1
2248,5.5
2249,5
2250,1
2251,7
2252,1
2253,4.333333333
2254,1
2255,15.66666667
2256,1.666666667
2257,2
2258,8
2259,1
2260,3.833333333
2261,25.5
2262,19.5
2263,1.5
2264,2.833333333
2265,6.166666667
2266,14.2
2267,4.166666667
2268,6.666666667
2269,3
2270,0
2271,2.833333333
2272,10.16666667
2273,10.4
2274,1.166666667
2275,1.666666667
2276,6.666666667
2277,4
2278,3.666666667
2279,12
2280,5.666666667
2281,8.666666667
2282,1
2283,2
2284,4.833333333
2285,3
2286,1.833333333
2287,2
2288,3.5
