ID,I6N
372,1.465619067
373,1.28549145
374,2.320976333
375,0
376,0
377,0
378,1.2880718
379,1.580773733
380,3.155409917
381,1.290425967
382,1.293235667
383,1.2880718
384,2.636982825
385,0
386,1.889458917
387,2.032733133
388,1.2880718
389,1.639956333
390,1.899422367
391,1.4092592
392,1.282907933
393,1.99778445
394,1.346380383
395,2.553658017
396,1.639956333
397,1.625196467
398,1.2880718
399,1.2880718
400,2.08843925
401,1.521591667
402,0
403,1.2880718
404,1.3472544
405,1.28703776
406,2.9946883
407,1.28990116
408,3.26018148
409,0
410,1.6483302
411,1.899422367
412,3.02204345
413,1.98246344
414,3.184548667
415,2.66153275
416,1.2880718
417,1.282907933
418,2.363292783
419,2.655743783
420,1.2880718
421,0
422,1.28990116
423,2.086468933
424,1.2880718
425,1.2880718
426,2.1034707
427,0
428,2.898814067
429,0
430,2.994769417
431,1.2880718
432,3.166663267
433,2.5343439
434,1.28549145
435,1.293235667
436,2.235267933
437,2.738473483
438,0
439,1.766358275
440,0
441,2.6777005
442,1.899422367
443,1.523321167
444,0
445,1.6483302
446,2.355619867
447,2.808125567
448,2.92197505
449,1.293235667
450,2.107822917
451,1.42582526
452,1.683677133
453,2.240556333
454,0
455,1.28872358
456,1.2880718
457,1.73998708
458,1.28872358
459,1.523321167
460,1.2880718
461,2.567295
462,1.2932325
463,2.397356417
464,2.756911633
465,2.72575735
466,2.20392485
467,1.289658
468,3.3192126
469,0
470,0
471,1.523321167
472,2.122803275
473,2.949956117
474,2.150775267
475,3.332989817
476,2.59273958
477,2.031397733
478,0
479,2.338168567
480,3.22043905
481,1.28703776
482,1.64253205
483,0
484,0
485,3.02091084
486,1.28703776
487,2.805513817
488,0
489,1.28549145
490,2.436638133
491,1.2880718
492,1.636681175
493,1.77111785
494,1.639956333
495,1.2954766
496,1.406436467
497,1.764622125
498,2.631447983
499,2.43708365
500,2.204252883
501,1.64253205
502,1.282907933
503,1.28549145
504,3.251076217
505,2.033199833
506,2.4131503
507,3.115292733
508,1.2880718
509,0
510,0
511,1.293235667
512,2.3211777
513,2.644768075
514,1.28549145
515,0
516,1.2954766
517,1.956177617
518,1.463889567
519,2.822034133
520,0
521,1.523071633
522,0
523,2.075604783
524,1.2880718
525,1.582254233
526,1.932374983
527,1.91064865
528,1.639956333
529,1.56971478
530,1.293235667
531,2.7444437
532,1.28872358
533,2.274029333
534,1.282907933
535,2.503479217
536,2.455444383
537,3.16578156
538,2.549987933
539,1.289658
540,1.57292818
541,2.031579617
542,0
543,0
544,2.178583983
545,2.497758267
546,1.52392765
547,0
548,1.289658
549,1.639956333
550,1.899422367
551,1.2880718
552,2.027072317
553,1.832254417
554,1.289658
555,3.360717883
556,1.293235667
557,1.2880718
558,2.25323234
559,1.77111785
560,1.639956333
561,2.0674657
562,1.521591667
563,1.639956333
564,1.2954766
565,2.363638767
566,2.33940085
567,1.2880718
568,1.84731695
569,2.788915067
570,2.429397417
571,2.48711005
572,1.8291377
573,2.32851805
574,2.861641983
575,1.8554924
576,1.857018433
577,3.26031365
578,1.2880718
579,2.41747285
580,2.90625015
581,1.76826085
582,2.204252883
583,1.8771956
584,1.28659084
585,2.13679095
586,2.334237133
