p,t1,t2,t3,t4,t5,t6,t7,t8
DIP-36201N,0.009217845,0.004025089,0.001722306,0.003627072,0.013123481,0.005008514,0.001075852,0.000664975
DIP-36202N,0.009217845,0.004025089,0.001722306,0.003627072,0.013123481,0.005008514,0.001075852,0.000664975
DIP-36204N,0.009587185,0.006640132,0.003293031,0.010547412,0.009539803,0.005183536,0.00519016,0.007009983
DIP-36205N,0.004851497,0.002217123,0.001141397,0.00442359,0.003855224,0.002014723,0.002620721,0.002729501
DIP-36207N,0.005051817,0.003677727,0.000997985,0.003831969,0.007081606,0.004092611,0.003900633,0.001193569
DIP-36209N,0.022035187,0.00675155,0.001918817,0.006060047,0.026025439,0.01107637,0.004028838,0.005123223
DIP-36210N,0.001186269,0.00033519,0.000308154,0.001940409,0.001079034,0.000278982,0.000549144,0.000802296
DIP-36211N,0.016585861,0.00322831,0.001622008,0.005757452,0.010593826,0.003500433,0.003341873,0.002867763
DIP-36212N,0.016585861,0.00322831,0.001622008,0.005757452,0.010593826,0.003500433,0.003341873,0.002867763
DIP-36213N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-36214N,0.045748054,0.007665364,0.001731837,0.003591792,0.047230956,0.010065719,0.004647426,0.00159895
DIP-36215N,0.01780969,0.004174894,0.001690084,0.006452199,0.017328855,0.005895466,0.003847214,0.004867391
DIP-36216N,0.004682477,0.002778894,0.001212649,0.005544414,0.006935115,0.002359502,0.002792729,0.002787816
DIP-36217N,0.018845719,0.00252516,0.001250771,0.006309722,0.016478491,0.004313691,0.002599353,0.003786689
DIP-36218N,0.030245173,0.007007156,0.003934301,0.008839038,0.035425897,0.008145744,0.010418781,0.00526995
DIP-36219N,0.007274116,0.003773228,0.001769959,0.005442644,0.010193654,0.003888639,0.00365277,0.003472542
DIP-36221N,0.078353245,0.042592535,0.016177424,0.023124791,0.123667286,0.051662969,0.052712494,0.021633788
DIP-36225N,0.044301995,0.013506846,0.007122496,0.017471823,0.037716164,0.020036689,0.020312991,0.011856681
DIP-36226N,0.024908526,0.008294548,0.002537395,0.008407535,0.026414892,0.012258095,0.007467933,0.005818295
DIP-36227N,0.00051645,0.000312719,0.0003313,0.000352802,0.003208518,0.000336884,0.000322649,0.000518248
DIP-36228N,0.015146061,0.004199238,0.002558271,0.00750382,0.018457911,0.006074436,0.005852552,0.006236844
DIP-36229N,0.022686227,0.005529698,0.002621355,0.007841695,0.035293697,0.00852737,0.005782039,0.006809644
DIP-36230N,0.032577021,0.007376052,0.00326807,0.010661395,0.05768901,0.012854221,0.009569424,0.007819804
DIP-36231N,0.009411905,0.003744203,0.002410775,0.009912369,0.011365585,0.004354486,0.004998921,0.007701294
DIP-36232N,0.039628907,0.009810393,0.003374722,0.007821341,0.032596113,0.014743929,0.00946686,0.005823939
DIP-36428N,0.012798563,0.003159961,0.001661038,0.005585122,0.029959268,0.00523091,0.003153839,0.005545533
DIP-36429N,0.009521455,0.001091708,0.000559579,0.002057105,0.005995427,0.000369783,0.000445512,0.001405195
DIP-36430N,0.01704597,0.004322827,0.001332461,0.00538701,0.029041018,0.002816138,0.002313029,0.003292896
DIP-364N,0,0,0,0,0,0,0,0
DIP-366N,0.054969029,0.031211993,0.006531602,0.014239617,0.077986994,0.039760181,0.022993541,0.01476771
DIP-367N,0.038586618,0.009474267,0.002789728,0.008947593,0.063823782,0.014235971,0.006421995,0.003780105
DIP-374N,0,0,0,0,0,0,0,0
DIP-39402N,0.01708979,0.004354661,0.002143919,0.007047891,0.012169501,0.004092611,0.003950846,0.00370486
DIP-39580N,0.007784306,0.005406109,0.001938786,0.006948836,0.01597113,0.005880991,0.005100416,0.004464832
DIP-39581N,1,1,1,0.871838015,0.923506503,0.922923362,0.961793885,0.913509055
DIP-39900N,0.00040377,0.000839848,0.000730675,0.003180643,0.00044662,0.000772464,0.000158119,0.001647859
DIP-39902N,0.019493629,0.003814425,0.002993954,0.007119809,0.017439617,0.004243946,0.004346145,0.00486551
DIP-39981N,0.026210605,0.005903276,0.001818519,0.006339574,0.038730885,0.013418765,0.003376061,0.004138458
DIP-39982N,0.022207337,0.005040021,0.003984223,0.007237862,0.018304273,0.008985322,0.008597204,0.004751702
DIP-401N,0.012069273,0.002844433,0.002654938,0.007244646,0.01077962,0.003034586,0.003230762,0.006446588
DIP-408N,0.006604296,0.001551424,0.001623824,0.00788376,0.007588967,0.004299216,0.003728625,0.004843877
DIP-41099N,0.001007859,0.000893216,0.000489689,0.001590321,0.001386308,0.000788255,0.001141023,0.001320544
DIP-45824N,0,0,0,0,0,0,0,0
DIP-46146N,0,0,0,0,0,0,0,0
DIP-46181N,0.023428037,0.006092406,0.001967377,0.007762993,0.028776619,0.007464081,0.006507465,0.00473101
DIP-46182N,0,0,0,0,0,0,0,0
DIP-46203N,0.110319917,0.031704479,0.02800665,0.056281362,0.101439903,0.046117546,0.087786137,0.036138142
DIP-46256N,0.080944884,0.032361751,0.018135725,0.055764372,0.084532657,0.052249884,0.06223491,0.046138161
DIP-46257N,0.010012864,0.004696405,0.002448443,0.008129364,0.015699586,0.005554634,0.004776699,0.00570825
DIP-46258N,0.003577588,0.000337999,0.000301347,0.001149319,0.001079034,0.001029075,0.000481837,0.002853655
DIP-46307N,0.013455862,0.00286035,0.00139146,0.005811729,0.014524082,0.003988651,0.003940163,0.004451664
DIP-46322N,0.011634203,0.002300452,0.001836673,0.006479338,0.02921252,0.004774275,0.004528836,0.003091616
DIP-46336N,0.005655907,0.002147838,0.001130051,0.002916041,0.006620695,0.002442407,0.003038455,0.002650494
