,N6N
1585,0.0
1586,0.0
1587,7.721423279999999
1588,0.0
1589,3.6474654
1590,0.0
1591,0.0
1592,1.4372894000000003
1593,5.2674316
1594,0.0
1595,5.61201875
1596,0.5
1597,0.0
1598,0.0
1599,0.0
1600,1.2333333333333334
1601,0.6666667
1602,0.0
1603,0.0
1604,0.661707866
1605,1.59727336
1606,1.125
1607,0.0
1608,0.9392857600000001
1609,1.4574042999999999
1610,0.0
1611,5.203095775
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,1.1676281999999998
1617,0.0
1618,1.8619840800000003
1619,4.2164136
1620,1.55
1621,14.1643125
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.685714296
1627,1.3492064250000002
1628,0.6666667
1629,4.4777679500000005
1630,3.0757575249999998
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.66666668
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.4
1641,6.43869045
1642,0.0
1643,0.0
1644,0.6
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,1.76666672
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.5714286
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,1.6666666
1665,2.0113144099999998
1666,0.0
1667,0.541666675
1668,14.188711999999999
1669,5.6658268
1670,5.78537162
1671,20.175895333333333
1672,7.57887215
1673,12.825472874999999
1674,1.7857143
1675,5.142857
1676,0.0
1677,4.57926068
1678,0.27272727799999996
1679,1.03000002
1680,2.0
1681,0.0
1682,9.15932975
1683,1.36
1684,1.0499999999999998
1685,6.179407500000001
1686,2.8
1687,5.033959716666666
1688,10.8435715
1689,0.0
1690,0.0
1691,9.967069
1692,1.5
1693,2.66857136
1694,1.5833333
1695,4.056547625
1696,0.0
1697,0.46666664
1698,0.0
1699,1.3868246499999999
1700,5.8798542750000005
1701,0.0
1702,0.30505953
1703,1.6946970000000003
1704,2.5703704166666665
1705,2.31339285
1706,1.7000000000000002
1707,0.8965368166666666
1708,0.55833333
1709,0.0
