,I6N
257,1.2349053499999998
258,1.2145647599999998
259,1.4578030199999998
260,1.1977864
261,2.09891242
262,1.38494222
263,1.9941947
264,2.43778585
265,0.0
266,1.6550834600000002
267,1.9987594000000002
268,1.2318445
269,1.5544958
270,1.2095254999999998
271,1.5544958
272,1.2145647599999998
273,0.0
274,0.0
275,1.234905325
276,1.234905325
277,1.234905325
278,1.3161441
279,2.75204734
280,2.784941125
281,0.0
282,2.44995626
283,1.2071839500000001
284,1.234905325
285,0.0
286,1.8474969599999997
287,1.9603744499999998
288,0.0
289,0.0
290,0.0
291,0.0
292,2.421262075
293,0.0
294,1.234905325
295,2.0622182000000002
296,1.234905325
297,0.0
298,2.36337752
299,0.0
300,0.0
301,0.0
302,0.0
303,1.234905325
304,0.0
305,2.30153254
306,1.8047503
307,2.3622436666666666
308,1.3412749800000001
309,0.0
310,0.0
311,1.1977864
312,1.47023712
313,1.21456474
314,0.0
315,1.21456474
316,1.5544958
317,2.73648284
318,0.0
319,0.0
320,0.0
321,1.5544958
322,0.0
323,0.0
324,1.47023712
325,2.2399632
326,1.2349053499999998
327,2.65261642
328,2.20224604
329,0.0
330,0.0
331,1.234905325
332,1.4455356499999998
333,1.4594231166666667
334,1.234905325
335,1.5544958
336,0.0
337,0.0
338,0.0
339,1.9603744499999998
340,1.5544958
341,2.37356115
342,1.90446752
343,1.785553725
344,2.733673325
345,1.3161441
346,2.5829310000000003
347,0.0
348,0.0
349,1.234905325
350,1.47023712
351,0.0
352,2.390084925
353,1.2440878999999998
354,0.0
355,0.0
356,1.21456474
357,1.234905325
358,1.234905325
359,1.29424515
360,1.213006375
361,0.0
362,0.0
363,1.234905325
364,1.569043
365,0.0
366,1.2440878999999998
367,0.0
368,1.5544958
369,1.234905325
370,1.56168572
371,0.0
372,0.0
373,0.0
374,2.49952766
375,0.0
376,2.0972837999999996
377,1.65695668
378,1.51737858
379,0.0
380,2.7465344199999997
381,0.0
382,0.0
383,0.0
384,2.7352702499999997
385,1.234905325
386,0.0
387,0.0
388,1.8946794166666665
389,1.9156819
390,0.0
391,0.0
392,2.9865516000000003
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,2.990412075
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,2.887283725
419,1.3161441
420,0.0
421,2.230621175
422,1.7740323
423,0.0
424,0.0
425,0.0
426,2.1028962800000004
427,2.1174560399999995
428,1.74309838
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,1.9835205000000002
446,0.0
447,1.234905325
448,1.234905325
449,1.785553725
450,1.569043
451,1.2440878999999998
452,0.0
453,0.0
454,0.0
455,0.0
456,1.21643796
457,0.0
458,0.0
459,0.0
460,0.0
461,1.9603744499999998
462,1.21456474
463,0.0
464,1.5544958
465,1.47023712
466,1.47023712
467,2.90687152
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,2.68300094
474,1.2318444666666668
475,0.0
476,0.0
477,0.0
478,0.0
479,1.234905325
480,1.1839819249999999
481,1.785553725
482,0.0
483,1.88411492
484,0.0
485,0.0
486,1.2440878999999998
487,1.5544958
488,0.0
489,1.21456474
490,2.0884507666666665
491,2.7396588
492,1.2318444666666668
