,LAC
2191,0.0
2192,2.4977777999999997
2193,1.0
2194,3.47912088
2195,0.0
2196,4.857143
2197,3.2941177
2198,2.2399999999999998
2199,0.0
2200,0.0
2201,0.74523812
2202,0.0
2203,0.0
2204,0.1
2205,4.50575512
2206,0.0
2207,0.14243590199999998
2208,0.34
2209,0.0
2210,0.0
2211,1.73155066
2212,0.3
2213,0.0
2214,2.7060139800000003
2215,0.0
2216,0.0
2217,0.40000001999999996
2218,1.14403288
2219,0.69523812
2220,0.0
2221,0.0
2222,4.5714285199999996
2223,2.79780212
2224,0.350476196
2225,0.318095248
2226,0.0
2227,1.0800000280000002
2228,0.8
2229,0.0
2230,0.0
2231,0.33333334
2232,0.0
2233,0.0
2234,4.816666700000001
2235,0.0
2236,0.40426601
2237,0.0
2238,0.0
2239,0.0
2240,3.6343883600000004
2241,3.3289223
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,3.0
2248,0.4
2249,0.0
2250,0.173333332
2251,0.0
2252,0.233333336
2253,0.0
2254,1.8491228000000004
2255,0.0
2256,1.20000004
2257,0.9428571480000001
2258,0.0
2259,0.0
2260,2.990670792
2261,3.7017354000000005
2262,0.0
2263,0.0
2264,0.30999999999999994
2265,1.05714288
2266,0.6133333599999999
2267,1.77142856
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.144444444
2276,0.32
2277,0.0
2278,3.26785718
2279,3.4285714999999994
2280,0.31106228199999997
2281,0.0
2282,0.0
2283,2.5142858
2284,0.22666666800000002
2285,0.0
2286,0.0
2287,0.9199999999999999
2288,4.6739395
2289,0.0
2290,0.6230769479999999
2291,5.886939580000001
2292,0.0
2293,0.0
2294,0.0
2295,0.53333336
2296,0.4
2297,0.0
2298,0.0
2299,0.0
2300,0.0
2301,0.0
2302,0.0
2303,0.0
2304,0.0
2305,0.8238095479999998
2306,0.0
2307,0.0
2308,3.5284174200000002
2309,0.3
2310,0.0
2311,0.79673661
2312,0.0
2313,0.0
2314,0.0
2315,0.0
2316,0.0
2317,0.0
2318,0.0
2319,3.87450032
2320,0.8
2321,0.0
2322,0.0
2323,0.0
2324,2.7270807800000005
2325,0.74666668
2326,0.0
2327,0.0
2328,0.0
2329,2.17142864
2330,0.0
2331,0.0
