geneID,id,essential
THUMPD1,972,0
MSANTD3,973,0
KIF26A,974,0
ATG2B,975,0
ARFGEF1,976,0
ACSM2B,977,1
ZFAT,978,0
MTFR1,979,1
STAG3,980,1
FECH,981,1
MYO9A,982,0
DDX3Y,983,1
PFKP,984,1
IDI1,985,1
SP100,986,1
KLF6,987,0
PLPP1,988,0
NEO1,989,0
TRAM1,990,1
PHKA1,991,1
TNFRSF1A,992,1
CACNB1,993,1
EVI5,994,0
STOML1,995,0
PKM,996,1
DHX29,997,1
DNTTIP2,998,1
METTL22,999,0
TP53BP1,1000,1
TRO,1001,0
RRP15,1002,1
RHOA,1003,1
DHX8,1004,1
PRKCZ,1005,1
ZFY,1006,0
IARS2,1007,1
SYT1,1008,1
NAV3,1009,1
IDH3G,1010,0
ROGDI,1011,0
PDZD4,1012,0
ATP2B3,1013,0
ROCK1,1014,1
CBFB,1015,1
PDK3,1016,0
HYAL2,1017,0
HDAC4,1018,1
RASSF1,1019,1
FGFR3,1020,1
IFI35,1021,1
HEATR6,1022,1
COASY,1023,1
PLEKHH3,1024,0
MEF2A,1025,0
OTUD5,1026,1
TFE3,1027,0
TBC1D25,1028,0
ACSL4,1029,1
INPP5A,1030,1
GPKOW,1031,1
GRIPAP1,1032,0
FTSJ1,1033,1
PRR11,1034,1
REEP1,1035,0
ATP11A,1036,0
POLR1A,1037,1
LAPTM4A,1038,0
TTC7A,1039,1
IP6K2,1040,1
SRBD1,1041,1
KIF2A,1042,0
RASGRP2,1043,1
PSME4,1044,1
IFT80,1045,1
SIRT2,1046,0
ERLEC1,1047,0
PPP2R5B,1048,1
PYGM,1049,1
PAGE1,1050,0
PITX1,1051,0
TRPC7,1052,0
MAST4,1053,1
ADGRF5,1054,0
SDK2,1055,1
ADAM7,1056,0
NUP133,1057,1
NUCKS1,1058,0
VPS35,1059,1
DNAJA2,1060,1
BCL3,1061,1
KCNAB2,1062,0
ABCC9,1063,0
GAL,1064,0
CLEC2D,1065,0
FUNDC1,1066,0
MAOB,1067,0
RORA,1068,0
DRD4,1069,0
TGFBR3,1070,1
PLA2G10,1071,0
HES2,1072,0
ATP1B3,1073,1
NEDD4,1074,0
PIGB,1075,1
MAPK6,1076,1
GNB5,1077,0
RAB27A,1078,0
HDHD5,1079,0
UFD1,1080,1
LRP6,1081,1
GUCY2C,1082,1
SCT,1083,0
PHRF1,1084,0
ELP1,1085,1
NUCB2,1086,0
PFN2,1087,0
PTPN3,1088,1
SPTB,1089,0
DAPP1,1090,0
FGF10,1091,1
SLC44A1,1092,0
TMEM260,1093,0
SMG6,1094,1
EXOC5,1095,1
CLTCL1,1096,1
FGF22,1097,0
FSTL3,1098,0
DGCR2,1099,1
RNF126,1100,1
MNT,1101,1
ZXDC,1102,0
JMJD6,1103,1
POLB,1104,1
ST6GALNAC1,1105,0
WIPI1,1106,0
FRMPD1,1107,1
GBA2,1108,0
NDST1,1109,1
ASNS,1110,1
AP3M2,1111,0
CNGB1,1112,1
ST6GALNAC2,1113,1
CHAT,1114,0
PABPC1,1115,1
TESK2,1116,1
CFAP20,1117,1
CSNK2A2,1118,1
PTPN21,1119,0
EIF2B3,1120,1
CAMK2A,1121,1
TCOF1,1122,1
CDC42,1123,1
OSBPL3,1124,0
EPHA8,1125,0
SLC12A3,1126,0
RAD18,1127,0
ATP2B1,1128,1
TRPM5,1129,1
NCK2,1130,0
MAP4K4,1131,1
MGAT4A,1132,0
RPL31,1133,1
WDR1,1134,1
SNX13,1135,0
MS4A12,1136,0
ARHGAP10,1137,0
RPS6KA2,1138,1
ING3,1139,1
VASH1,1140,0
LMCD1,1141,0
BUD23,1142,1
SEL1L,1143,1
TRIP13,1144,1
ATP6AP1,1145,1
TCF3,1146,1
TRIB2,1147,0
DAZAP1,1148,1
MBD3,1149,1
PRLH,1150,1
HLTF,1151,1
FAM50A,1152,1
FAM3A,1153,0
CPSF1,1154,1
MYO3B,1155,1
CYBRD1,1156,1
CDH19,1157,0
PDCD2,1158,1
SLC6A15,1159,0
RDH11,1160,0
PRKACA,1161,1
ADGRL1,1162,1
SPP2,1163,0
ACTN1,1164,1
ZFYVE26,1165,0
RPS6KA6,1166,1
EPN2,1167,0
PTPN18,1168,0
LIMS2,1169,1
ASIC4,1170,0
SPEG,1171,0
LNX1,1172,0
ALDH3A2,1173,0
TFRC,1174,1
SREBF1,1175,1
TRPC5,1176,0
AFF4,1177,1
UBE2D1,1178,1
MPP5,1179,1
RHOBTB1,1180,0
SMC1A,1181,1
HSD17B10,1182,1
MARK2,1183,1
HMMR,1184,1
CHFR,1185,0
TRHDE,1186,0
P4HA2,1187,1
FCGR2B,1188,1
NFATC3,1189,0
TRNT1,1190,1
ACADVL,1191,0
STK10,1192,0
FBXW11,1193,1
ACAP1,1194,0
CRMP1,1195,0
EVC,1196,0
DERL2,1197,1
SIDT1,1198,0
NDE1,1199,1
IRAG1,1200,0
TMEM38A,1201,0
AP1M1,1202,1
PVR,1203,0
XRCC1,1204,1
SCARB1,1205,0
CYP2W1,1206,0
MCM2,1207,1
MOV10L1,1208,0
PANX2,1209,0
SELENOO,1210,0
TP63,1211,0
ALPK1,1212,1
LLGL2,1213,0
PDE8A,1214,0
CLCN4,1215,0
NLE1,1216,1
SDHA,1217,1
SMARCE1,1218,1
FNDC8,1219,1
GSDMB,1220,0
KDM5A,1221,0
ADAM11,1222,1
PPP2R3A,1223,1
FERMT2,1224,1
ABCB11,1225,0
DHRS9,1226,0
CD5L,1227,0
PTGS2,1228,0
IGF2BP2,1229,0
MAP3K13,1230,1
ST6GAL1,1231,0
TBX21,1232,1
FRY,1233,0
PICALM,1234,0
NSF,1235,1
GLI2,1236,1
CLASP1,1237,1
MRPS34,1238,1
NOTCH3,1239,0
CLNS1A,1240,1
PPP2R2C,1241,0
TEAD2,1242,1
EED,1243,1
CDHR2,1244,0
SNCB,1245,1
TSG101,1246,1
NCBP3,1247,0
ATP2A3,1248,1
CA12,1249,1
MGLL,1250,0
NTN4,1251,0
BCS1L,1252,1
NUAK1,1253,1
DPP8,1254,0
SLC24A1,1255,0
ZNF532,1256,1
SCARF1,1257,1
LMAN1,1258,0
HACD3,1259,0
IPCEF1,1260,0
ZZEF1,1261,0
NOX3,1262,0
ENO1,1263,1
SLC12A1,1264,0
MYDGF,1265,0
ANO8,1266,0
TUBE1,1267,1
ARHGEF10L,1268,0
TXK,1269,1
WSCD2,1270,0
KCNQ2,1271,0
TACR2,1272,1
ACTR6,1273,1
TIPIN,1274,0
SRI,1275,1
EIF4G3,1276,0
