geneID,essential,,geneID2,essential
CDC27,NE,,SLC39A9,1
CDC27,NE,,ANK1,0
SLC4A1,E,,IBSP,1
SLC4A1,E,,TFB1M,1
SLC4A1,NE,,RABEP1,0
SLC4A1,NE,,HMGB3,0
SLC4A1,NE,,NUP160,1
SLC4A1,NE,,BAK1,1
SLC4A1,NE,,MUSK,1
SLC4A1,NE,,IKZF2,1
CALCR,NE,,GRN,1
CALCR,NE,,FAM13B,1
CALCR,NE,,ARHGAP31,0
CALCR,NE,,CENPQ,1
CALCR,NE,,SARS1,1
CALCR,NE,,RANBP3,1
CALCR,NE,,ARID4A,0
HCCS,E,,EIPR1,1
HCCS,E,,PNPLA6,0
HCCS,E,,IFT88,0
HCCS,NE,,ALG1,1
HCCS,NE,,ZCCHC8,0
HCCS,NE,,ABCF2,1
HCCS,NE,,CHPF2,0
HCCS,NE,,LRRC7,0
DVL2,NE,,FUT8,1
DVL2,NE,,UBA6,1
DVL2,NE,,GAB2,1
DVL2,NE,,ATP6V0A1,0
DVL2,NE,,PIAS1,1
DVL2,NE,,SLC4A7,1
DVL2,NE,,APBA2,0
PRSS22,NE,,MAP2K3,1
PRSS22,NE,,EFCAB1,0
PRSS22,NE,,TMSB10,0
PRSS22,NE,,ASTE1,0
PRSS22,NE,,RNF19A,1
PRSS22,NE,,PEX3,1
PRSS22,NE,,GABARAPL2,0
UPF1,E,,MYOC,0
UPF1,E,,SH3YL1,0
UPF1,E,,FAM136A,0
UPF1,E,,VCL,1
UPF1,E,,DEPDC1B,1
UPF1,E,,DAPK2,0
UPF1,E,,NSMAF,0
UPF1,E,,ADSS2,1
UPF1,NE,,STAP1,0
SKAP2,NE,,TIMP2,1
SKAP2,NE,,RFC1,1
SKAP2,NE,,TBC1D23,0
SKAP2,NE,,CUL3,1
SKAP2,NE,,MYOM2,0
SKAP2,NE,,OTC,0
SKAP2,NE,,CYP46A1,0
SLC25A5,E,,SLC18A1,0
SLC25A5,NE,,USP2,0
SLC25A5,NE,,CASR,1
SLC25A5,NE,,TUBG2,0
SLC25A5,NE,,RPL26L1,0
SLC25A5,NE,,FLT4,0
SLC25A5,NE,,NSUN2,0
MCUB,NE,,FBXO42,0
MCUB,NE,,MFAP3,0
MCUB,NE,,MRI1,0
HOXA11,NE,,METTL1,1
HOXA11,NE,,HOXC8,0
HOXA11,NE,,AGA,0
HOXA11,NE,,PI4K2B,1
HOXA11,NE,,BOD1L1,1
HOXA11,NE,,MAT2B,0
HOXA11,NE,,TLL1,0
POLR2J,E,,EDC4,1
POLR2J,E,,TRIO,1
POLR2J,E,,VCAN,0
POLR2J,E,,CLEC16A,0
POLR2J,E,,MSR1,0
POLR2J,NE,,CDH1,1
POLR2J,NE,,MTREX,1
POLR2J,NE,,DNAH5,0
DHX33,E,,ZFYVE16,1
DHX33,E,,RIPOR1,0
DHX33,E,,C6,1
DHX33,E,,RAI14,0
DHX33,E,,SOX30,0
DHX33,E,,PNKP,1
DHX33,NE,,BEST2,0
DHX33,NE,,PHLPP2,0
MEOX1,NE,,SPDL1,1
MEOX1,NE,,STAU2,1
MEOX1,NE,,SLC66A1,1
MEOX1,NE,,CTNS,1
MEOX1,NE,,RTN4R,1
MEOX1,NE,,PHF23,1
MEOX1,NE,,CDH10,0
THSD7A,NE,,INPP4A,0
THSD7A,NE,,RAB27B,0
THSD7A,NE,,PSMA4,1
THSD7A,NE,,MYO16,0
THSD7A,NE,,LSG1,1
THSD7A,NE,,PARP3,0
THSD7A,NE,,TNC,1
LIG3,E,,THAP3,0
LIG3,E,,RIPOR3,1
LIG3,E,,TDP1,1
LIG3,NE,,AIFM2,1
LIG3,NE,,C2orf83,0
LIG3,NE,,SPATA7,1
LIG3,NE,,MED17,1
LIG3,NE,,RETSAT,0
RPAP3,E,,CAPG,0
RPAP3,E,,AP2S1,1
RPAP3,E,,USH2A,0
RPAP3,NE,,ZPBP,1
RPAP3,NE,,TG,0
RPAP3,NE,,ADAM28,0
RPAP3,NE,,BARX2,0
RPAP3,NE,,DCUN1D1,0
ACSM3,NE,,JADE2,1
ACSM3,NE,,ZIC2,0
ACSM3,NE,,LCP2,0
ACSM3,NE,,TRIT1,1
ACSM3,NE,,ADRB1,0
ACSM3,NE,,GUCA2B,0
ACSM3,NE,,CUL7,0
REXO5,NE,,CTNNA1,1
REXO5,NE,,PHKA2,1
REXO5,NE,,CNTLN,0
CIAPIN1,E,,EPHA3,1
CIAPIN1,E,,HSPA5,1
CIAPIN1,E,,DSG2,1
CIAPIN1,E,,GEMIN8,1
CIAPIN1,NE,,OFD1,1
CIAPIN1,NE,,GPM6B,0
CIAPIN1,NE,,MAGEC2,0
CIAPIN1,NE,,PREX2,0
SPPL2B,E,,WDR37,1
SPPL2B,NE,,YTHDC2,0
FAM214B,NE,,CTPS2,0
FAM214B,NE,,ATP6V1H,1
FAM214B,NE,,POLR2B,1
FAM214B,NE,,FAM214A,0
FAM214B,NE,,ARAP2,0
FAM214B,NE,,TPR,1
FAM214B,NE,,CP,0
COPZ2,NE,,KATNIP,0
PRKAR2B,E,,DTNBP1,0
PRKAR2B,NE,,XK,0
PRKAR2B,NE,,ANO2,0
PRKAR2B,NE,,C12orf4,0
PRKAR2B,NE,,SCML1,0
PRKAR2B,NE,,WWC3,0
PRKAR2B,NE,,ARHGAP6,0
PRKAR2B,NE,,FAM184B,0
MSL3,NE,,MAP4,1
MSL3,NE,,GOPC,1
MSL3,NE,,ROS1,1
MSL3,NE,,USP28,1
MSL3,NE,,HDAC9,1
MSL3,NE,,TSPAN17,0
MSL3,NE,,NOP16,1
CREBBP,E,,CC2D2A,0
CREBBP,E,,RRM2B,1
CREBBP,E,,ZNF800,0
CREBBP,E,,TNFRSF17,1
CREBBP,NE,,SNX29,0
CREBBP,NE,,LMO3,1
CREBBP,NE,,MRPS10,1
TSPOAP1,NE,,GUCA1A,1
TSPOAP1,NE,,RSF1,0
TSPOAP1,NE,,VPS13D,1
MPO,E,,CELF2,0
MPO,NE,,FAM120A,1
MPO,NE,,R3HDM1,0
MPO,NE,,COL9A2,0
MPO,NE,,KITLG,0
MPO,NE,,ERCC8,0
MPO,NE,,ADAMTS6,0
MPO,NE,,H6PD,0
PON1,NE,,VAMP3,0
PON1,NE,,PER3,0
PON1,NE,,UTS2,0
PON1,NE,,TNFRSF9,1
PON1,NE,,EPN3,1
PON1,NE,,LTBP1,0
PON1,NE,,RCN1,1
GCFC2,NE,,ELN,1
GCFC2,NE,,RFC2,1
GCFC2,NE,,ARID1B,1
GCFC2,NE,,CLPTM1L,0
GCFC2,NE,,NEDD4L,1
GCFC2,NE,,FOXP3,0
GCFC2,NE,,PPP1R3F,0
WDR54,E,,HEXB,0
WDR54,NE,,PTCD2,0
WDR54,NE,,NEXMIF,0
WDR54,NE,,JKAMP,0
WDR54,NE,,DKK3,1
WDR54,NE,,ARHGEF5,0
WDR54,NE,,NFE2L3,0
WDR54,NE,,MCUR1,1
CROT,NE,,LIMA1,1
CROT,NE,,LETMD1,0
CROT,NE,,SLC4A8,0
CROT,NE,,LAMC3,1
CROT,NE,,PTGER3,0
CROT,NE,,TNIP3,0
CROT,NE,,MAPK9,1
ABCB4,E,,COL23A1,0
ABCB4,NE,,BCAR1,1
ABCB4,NE,,FAM160A2,1
ABCB4,NE,,HERPUD1,0
ABCB4,NE,,HOMER3,0
ABCB4,NE,,RAD51,1
ABCB4,NE,,POLQ,1
KMT2E,NE,,PIK3CB,1
KMT2E,NE,,CYBA,0
KMT2E,NE,,THOC3,1
KMT2E,NE,,HEBP2,1
KMT2E,NE,,MPHOSPH9,0
KMT2E,NE,,PLEKHA5,0
KMT2E,NE,,PRSS8,0
RHBDD2,E,,SIKE1,1
RHBDD2,NE,,RRP12,1
RHBDD2,NE,,FNIP2,0
RHBDD2,NE,,MSMO1,1
RHBDD2,NE,,TTC17,0
RHBDD2,NE,,ALX4,0
RHBDD2,NE,,FSTL4,0
RHBDD2,NE,,FOXN3,1
SOX8,E,,METTL24,0
SOX8,NE,,AKR7A2,0
SOX8,NE,,MRTO4,1
SOX8,NE,,NNAT,0
SOX8,NE,,USE1,1
SOX8,NE,,MCF2L2,0
SOX8,NE,,NRIP2,0
IBTK,E,,LAMA3,0
IBTK,NE,,AP5M1,0
