geneID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
ENTPD1,13.832,14.4063,8.0058,5.1056,6.8043,11.1868,11.9311,6.352,10.1248,5.8208,6.4911
EXOC6,5.2935,6.1973,5.344,5.2005,6.5276,5.9864,5.6874,4.1927,4.8059,4.4177,4.8419
PLCE1,1.9392,3.1688,6.0219,12.7103,15.3863,1.6649,1.4474,13.3146,2.3182,9.6179,15.7536
RBP4,2.3424,3.322,44.6674,9.6469,25.5597,1.0295,1.6155,24.682,42.0227,17.0703,15.5722
DBR1,5.7895,5.5121,5.552,7.9364,6.5163,4.7784,6.3629,6.7914,5.8382,6.6354,6.7766
DNAJC13,14.7221,15.0126,16.0444,14.3407,14.648,14.4617,14.2232,14.7777,12.0896,14.6441,15.4613
GPR87,0.6461,2.7089,4.3261,31.341,28.3883,0.5541,0.1647,15.3144,0.0881,9.2442,16.8846
ANXA7,64.0795,79.138,80.2309,62.0814,55.9006,59.1186,71.8717,67.4065,68.0172,62.9028,67.6815
FAM149B1,6.5392,8.2566,9.0821,11.227,12.9814,8.7821,6.4689,11.6393,8.3762,8.0634,12.2665
ASCC1,7.0931,7.9872,8.5811,8.3845,8.991,9.1473,9.124,8.0197,6.4644,8.2926,7.0142
PLA2G12B,0,0.0325,0.1262,0.0523,0.0513,0,0,0.0381,0.0817,0.064,0
ZNF365,0.0227,0.0613,0.0977,0.1821,0.1266,0.0203,0.0143,0.1604,0.0356,0.0789,0.1057
OIT3,0,0.03,0.0389,0.0242,0.0237,0,0,0.1234,0.0189,0.0444,0.0449
ADAMTS14,0.2268,0.2425,0.5235,0.4444,2.1691,0.2397,0.3664,0.9165,1.2706,0.2122,1.8713
RPS24,104.3364,93.9157,109.5933,131.5294,115.9372,94.1142,102.1328,142.4055,113.7092,132.0436,107.8607
TET1,0.1603,0.2258,0.2829,0.274,0.4967,0.0838,0.1081,0.317,0.1769,0.2005,0.4866
DNA2,1.0999,1.4548,1.6154,2.1939,2.218,1.5331,0.4103,1.2386,1.1711,1.2607,1.7635
MYPN,0.0132,0.011,0,0.0177,0.0347,0.0178,0.0222,0.0194,0.0208,0.0217,0.0411
AOX1,39.312,62.0505,55.8652,17.612,9.5589,40.0234,27.9027,53.6189,80.6761,38.8247,20.1953
ATIC,27.6196,38.0431,41.0141,26.8979,32.9457,36.6032,43.2433,36.902,35.4531,28.1419,35.9546
SMARCAL1,5.8254,7.1951,7.4096,8.9117,9.7726,7.4827,6.5371,8.5411,6.2661,7.4008,9.9179
BARD1,2.0232,1.9965,2.551,2.3106,1.9214,1.814,1.1847,1.9412,3.0099,1.6024,1.287
STAT4,0.2486,0.2641,2.0976,2.9752,2.9007,0.4335,0.3239,3.1524,0.65,3.3471,5.541
MSTN,0.1514,0.2265,0.2119,0.243,0.1391,0.2171,0.1648,0.1329,0.095,0.2106,0.1128
CARF,0,0,0,0,0,0,0,0,0,0,0
ASNSD1,13.7967,12.4607,14.9149,15.0388,11.8532,17.4943,14.461,12.0751,18.2184,12.7648,11.559
METTL5,22.4257,27.4555,17.1468,19.5956,19.8217,22.5127,30.5904,18.2341,24.9241,19.9973,17.9085
SSB,22.1594,23.5585,23.8118,27.9057,26.6224,22.9846,23.9618,26.8811,28.8984,25.1432,23.6689
NAB1,10.13,7.4295,9.7583,21.0244,11.3157,9.322,5.773,11.4163,8.3961,10.5674,11.8101
CDK15,0.3066,0.4866,0.5403,0.3356,0.8413,0.8496,0.3734,1.1688,0.4954,0.8442,1.1422
