name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
YER047C,1.437923193,1.508756439,1.498197715,1.177961469,1.322402954,1.242024621,1.631868998,1.43285803,1.441166957,1.30595545,1.233659188,1.039266686
YER048C,5.238972187,6.747977575,5.197729111,4.113417705,3.995752255,3.804632425,3.519725323,3.329601526,3.928272247,3.816210906,4.325569948,4.348095894
YER049W,0.633757571,0.464713554,0.494235575,0.58198154,0.498231212,0.641449531,0.842641592,3.339218656,2.367306908,0.90380319,0.962694526,1.21954147
YER051W,0,0,0,0,0,0,0,0,0,0,0,0
YER052C,2.158761621,1.322430213,2.820627054,3.711292426,4.649218718,5.881821474,7.064765612,8.483375708,6.141647816,6.474230925,6.49490118,6.284659545
YER053C,7.061830203,9.615558941,5.874027411,5.722150962,5.285262903,5.42841959,4.73013703,2.39146328,4.025459329,5.233015696,4.286397139,5.067622661
YER054C,1.784890731,7.432084083,5.044545332,4.65701588,4.556485017,4.359589259,3.530578613,1.600407183,0.505653183,0.550329944,0.321191142,0.406663438
YER055C,5.384384155,2.726598183,4.527402242,4.881120841,8.09143289,10.28077285,12.28954633,19.85221227,19.47892126,10.21194553,10.77648385,11.36552493
YER056C,2.965684017,1.638261676,1.953797062,2.823457797,3.580211878,5.383189837,5.292822997,14.90452417,14.45954482,5.7775081,5.543955644,6.782380899
YER057C,10.04558531,10.29007324,8.931408406,10.82987372,9.79769834,10.00678571,8.812340258,13.07870166,13.41107686,12.5122455,10.27797159,10.17733828
YER058W,5.402273178,2.402284503,0.866387248,0.988262256,0.817704896,0.891567747,0.509330571,0.604023685,2.054100772,4.987664858,5.426489671,5.388363361
YER059W,0.887054602,1.164382319,1.165040791,1.943695505,1.722765366,1.648732821,1.664800882,0.871129433,0.641738136,0.83547308,1.01573209,1.042097708
YER060W-A,0,0,0,0,0,0,0,0,0,0,0,0
YER061C,0.764894665,0.436633537,0.394883017,0.593834559,0.570658743,0.661108891,0.822690328,1.900228222,1.073693951,0.900211354,0.879303356,0.737754742
YER062C,0.788424869,1.086625874,0.845421891,1.140156349,1.411004901,1.61236008,2.185098767,11.67803987,2.921874404,0.836711963,1.134857814,0.939733307
YER063W,6.621162573,4.745333354,5.719368458,4.948030949,4.249143362,4.16020298,3.934752067,4.450122356,4.85325853,5.193460305,6.124949932,5.394284248
YER064C,1.197763403,0.532888551,0.521508902,0.46662118,0.566104849,0.848912895,1.359534979,2.598343969,2.256434162,1.241272131,1.813389341,1.737615307
YER065C,30.36854299,22.50881322,19.08059311,14.81053766,13.301006,14.38795535,14.19420656,8.926227251,10.86903349,16.87099489,21.31936519,18.38442294
YER066C-A,0,0,0,0,0,0,0,0,0,0,0,0
YER066W,3.459096352,3.979598125,3.395627181,3.19626379,2.944399277,3.045269966,2.670814594,1.532248636,1.53942585,1.755352696,1.812411666,1.889095585
YER067W,17.00473086,28.31024424,22.42216683,15.69544443,13.47148387,10.20293299,5.171105862,1.88592124,6.774483285,9.240321,6.997484048,7.840468565
YER068W,0.941138665,0.885173043,0.886321863,0.789070288,0.680330614,0.741509934,0.614588757,0.719281296,0.738289932,0.783214847,0.71165669,0.707031369
YER069W,9.879760903,12.33479245,20.07886314,18.63155111,25.15659587,26.45377159,28.59649086,19.99855041,13.4366293,8.57485501,10.05038007,9.170053482
YER070W,5.994659424,1.981384595,1.412598173,0.82012254,0.806295116,0.76889052,1.03866597,1.160556058,9.966057778,19.06036536,12.66277059,9.248131434
YER071C,1.705382427,1.17842559,0.933503389,1.07532231,1.179062327,1.304230611,1.010516524,0.926832577,1.189574023,1.510803819,1.388430794,1.50022316
YER073W,3.661022425,3.479437828,4.708011309,5.080960751,6.233893712,8.090430737,9.274752298,13.8646253,6.412692706,5.180496534,6.013667266,5.654361248
YER075C,0.66807425,0.589030186,0.63747249,0.586648862,0.45553872,0.483921727,0.490884672,0.713461558,0.797921667,0.467710445,0.548437059,0.47714899
YER076C,0.556064467,0.560921818,0.576282223,0.579251091,0.55049779,0.626861115,0.618273377,0.607459505,0.613770902,0.554234087,0.561734885,0.514523755
YER077C,0.613261362,0.455382168,0.325371713,0.332023829,0.355320275,0.424254517,0.407634725,0.598845611,0.343291501,0.528192719,0.640468488,0.711318811
