,DC
1530,1.0
1531,1.0
1532,1.0
1533,0.0
1534,1.6
1535,1.0
1536,1.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,3.0
1547,9.6
1548,3.25
1549,0.0
1550,0.0
1551,0.0
1552,6.0
1553,2.0
1554,0.0
1555,0.0
1556,0.0
1557,3.6
1558,1.0
1559,4.0
1560,0.0
1561,0.0
1562,0.0
1563,2.4
1564,15.6
1565,0.0
1566,37.75
1567,1.6
1568,4.8
1569,56.0
1570,1.0
1571,0.0
1572,7.6
1573,1.0
1574,0.0
1575,5.6
1576,6.0
1577,10.4
1578,1.0
1579,1.0
1580,7.6
1581,2.2
1582,2.0
1583,0.0
1584,1.0
1585,3.0
1586,2.0
1587,0.0
1588,0.0
1589,4.0
1590,4.0
1591,0.0
1592,1.0
1593,1.4
1594,1.0
1595,0.0
1596,7.4
1597,7.4
1598,2.0
1599,0.0
1600,7.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,2.0
1607,1.0
1608,4.2
1609,1.0
1610,1.0
1611,24.0
1612,0.0
1613,1.75
1614,3.8
1615,0.0
1616,1.0
1617,5.8
1618,0.0
1619,1.6
1620,0.0
1621,0.0
1622,1.0
1623,0.0
1624,6.6
1625,1.0
1626,0.0
1627,0.0
1628,1.0
1629,0.0
1630,5.6
1631,1.8
1632,12.0
1633,1.0
1634,0.0
1635,0.0
1636,15.8
1637,1.0
1638,14.0
1639,1.0
1640,2.6
1641,2.0
1642,0.0
1643,2.0
1644,6.0
1645,0.0
1646,5.4
1647,9.6
1648,0.0
1649,1.0
1650,0.0
1651,0.0
1652,4.6
1653,0.0
1654,0.0
1655,18.0
1656,2.6
1657,0.0
1658,0.0
1659,1.0
1660,4.4
1661,1.0
1662,0.0
1663,2.0
1664,2.6
1665,1.0
1666,1.25
1667,1.6666666666666667
1668,5.0
1669,0.0
1670,7.0
1671,1.6666666666666667
1672,15.0
1673,1.0
1674,1.6
1675,3.8
1676,0.0
1677,6.0
1678,1.0
1679,9.6
1680,9.8
1681,1.0
1682,11.8
1683,0.0
1684,2.0
1685,1.0
1686,14.4
1687,17.2
1688,1.2
1689,1.0
1690,7.75
1691,5.2
1692,1.0
1693,1.0
1694,13.0
1695,0.0
1696,5.2
1697,5.6
1698,0.0
1699,0.0
1700,47.0
1701,3.0
1702,7.0
1703,8.8
1704,1.4
1705,1.0
1706,4.6
1707,2.4
1708,24.2
1709,1.0
1710,1.0
1711,0.0
1712,0.0
1713,1.0
1714,0.0
