,BC
2066,3337.314832
2067,0.0
2068,0.0
2069,0.0
2070,77628.9026
2071,23520.014199999998
2072,27519.41266666667
2073,0.0
2074,9228.6014
2075,78722.1128
2076,143.91277800000003
2077,0.0
2078,306.064983
2079,22039.347566666667
2080,0.0
2081,0.0
2082,0.0
2083,13553.988399999998
2084,1227.408756
2085,6427.687240000001
2086,0.0
2087,0.0
2088,3546.0583099999994
2089,2582.4557800000002
2090,0.0
2091,850.7654
2092,106.34658200000001
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,18134.5586
2101,0.0
2102,0.0
2103,0.0
2104,87272.74799999999
2105,453.82912400000004
2106,21892.3152
2107,2563.2299399999997
2108,0.0
2109,0.0
2110,105731.48419999999
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,255.177988
2117,20881.5824
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,82.2854516
2123,2184.44218
2124,211.46043799999998
2125,653.8175610000001
2126,390.86287
2127,75297.944
2128,0.0
2129,3234.186233333334
2130,30911.529
2131,6709.812
2132,11609.109
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,202303.99
2139,0.0
2140,1786.4574
2141,6503.211299999999
2142,6797.73348
2143,1436.0218659999998
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,599.4426900000001
2149,61270.0544
2150,0.0
2151,0.0
2152,2433.12239
2153,0.0
2154,0.0
2155,0.0
2156,1246.0
2157,0.0
2158,0.0
2159,0.0
2160,14208.317333333332
2161,0.0
2162,0.0
2163,0.0
2164,48832.985
2165,0.0
2166,16915.6722
2167,2508.92294
2168,0.0
2169,0.0
2170,7953.878266666667
2171,2478.4
2172,17485.8176
2173,0.0
2174,0.0
2175,637.5482760000001
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,170.301108
2181,0.0
2182,243.18080399999994
2183,1732.7051079999997
2184,8802.66912
2185,0.8
2186,1893.06384
2187,10668.3554
2188,0.0
2189,52.7648868
2190,31212.383
2191,92.61393333333332
2192,7399.952519999999
2193,80.955118
2194,7704.278399999998
2195,0.0
2196,32.119151200000005
2197,15056.448666666669
2198,1362.68908
2199,0.0
2200,0.0
2201,6055.463959999999
2202,0.0
2203,0.0
2204,728.774975
2205,12249.38525
2206,0.0
2207,27068.9796
2208,5645.9715
2209,1358.28188
2210,0.0
2211,35784.7458
2212,0.0
2213,0.0
2214,936.6575666666666
2215,1601.1977920000002
2216,600.7482466666667
2217,0.0
2218,686317.774
2219,9509.0034
2220,0.0
2221,0.0
2222,4263.9454
2223,11309.637660000002
2224,2478.4
2225,133.37954
2226,15849.664399999998
2227,0.0
2228,0.0
2229,0.0
2230,538.7836960000001
2231,10509.41296
2232,0.0
2233,0.0
2234,372.3930566666666
2235,3094.50619
2236,30797.225400000003
2237,0.0
2238,0.0
2239,0.0
2240,13156.7424
2241,7934.307020000002
2242,0.0
2243,70.1392608
2244,171.452064
2245,0.0
2246,0.0
2247,1374.3503799999999
2248,1842.6852000000003
2249,0.0
2250,21617.338600000003
2251,0.0
2252,3913.9197
2253,0.0
2254,45886.4768
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,5451.014451999999
2260,36011.2228
2261,38502.654800000004
2262,182.323284
2263,4553.24348
2264,4540.01958
2265,13710.412
2266,0.0
2267,6297.588419999999
2268,0.0
2269,0.0
2270,1710.656814
2271,26838.139000000003
2272,0.0
2273,0.0
2274,1263.34065
