,S4N
1089,0.0
1090,0.0
1091,4494575000.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,167669861.14999998
1097,3325225000.0
1098,4861850000.0
1099,34320.8750975
1100,17796770.165000003
1101,52221308.537499994
1102,47047750000.0
1103,1.5433857000000002
1104,354567500000.0
1105,66885000000.0
1106,16899000000.0
1107,25367519800.7475
1108,191655250000.0
1109,498417500000.0
1110,658100000000.0
1111,0.0
1112,0.0
1113,654800000.0
1114,39429147.585
1115,765300000.0
1116,2289725000.0
1117,1.5437855
1118,0.0
1119,67787500000.0
1120,0.0
1121,0.0
1122,4788618.66975
1123,0.0
1124,16413.5512125
1125,39729750000.0
1126,406480000000.0
1127,12963000000.0
1128,4788618.66975
1129,1.543520825
1130,8231283.455
1131,30497735.78
1132,696767500000.0
1133,9798058.29
1134,40140500000.0
1135,2082450000.0
1136,26.9221185
1137,8140000000.0
1138,0.0
1139,34903084.849999994
1140,232462500000.0
1141,16899000000.0
1142,6970000000.0
1143,119907579.725
1144,120505000000.0
1145,45022775.8975
1146,0.0
1147,450595000000.0
1148,576233326.875
1149,0.0
1150,0.0
1151,182539000000.0
1152,1021075000.0
1153,42034750000.0
1154,836243.6033333334
1155,522217931.625
1156,191519500000.0
1157,0.0
1158,237692500000.0
1159,0.0
1160,7369000000.0
1161,78411750000.0
1162,41776011.795
1163,42717153.787499994
1164,0.0
1165,126168488.7125
1166,2939925000.0
1167,320512056.75
1168,1.5428323750000001
1169,97275225000.0
1170,69470698.3975
1171,633757500000.0
1172,11292550000.0
1173,0.0
1174,8119958.95375
1175,0.0
1176,1245675000.0
1177,227924945.0
1178,440272500000.0
1179,89484.96669999999
1180,206947500000.0
1181,0.0
1182,899357500000.0
1183,32500520146.85
1184,12248.7930125
1185,3460700000.0
1186,489275544.9
1187,113305396.0
1188,495051473.625
1189,723585344.875
1190,84180000000.0
1191,0.0
1192,50548786.525
1193,0.0
1194,0.0
1195,1.55041745
1196,0.0
1197,1.58384365
1198,2.1882509
1199,1.58385215
1200,35159.273425
1201,30.048339249999998
1202,30.04833975
1203,6279700000.0
1204,223820560.8
1205,0.0
1206,0.0
1207,2.381126
1208,2.38109365
1209,2.381058925
1210,2.38110575
1211,1.542561375
1212,1.542107175
1213,1.543986725
1214,0.0
1215,0.0
1216,70250000749.08202
1217,102500751.17452501
1218,10950669518.032501
1219,0.0
1220,5657.8271125
1221,6279700000.0
1222,0.0
1223,1.540100625
1224,5929025000.0
1225,2.71054085
1226,2.7071723249999997
1227,0.0
1228,1.543338625
1229,1.542947125
1230,1.5457388
1231,1.540346175
1232,2939925000.0
1233,2.707174125
1234,47875000000.0
1235,0.0
1236,130250000000.0
1237,1.541769125
1238,153138128.55
1239,1679225000.0
1240,0.0
1241,3436808.53625
1242,39519065.059999995
1243,0.0
1244,62004433.745
1245,0.0
1246,0.0
1247,74000000000.0
1248,647450000.0
1249,16984250000.0
1250,117380000000.0
1251,36464250000.0
1252,100753880819.0
1253,62393596.255
1254,0.0
1255,8847270.425
1256,0.0
1257,0.0
1258,0.0
1259,34255750000000.0
1260,1033140.109
1261,0.0
1262,0.0
1263,17796770.165000003
1264,0.0
1265,33142000000.0
1266,3392775000.0
1267,0.0
1268,10251750000.0
1269,288145000000.0
1270,0.0
1271,2491800000.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,1.6459671249999999
1277,1.6459641
1278,2.3199853249999998
1279,2.245277475
1280,1.5847457500000002
1281,2.955214675
1282,0.0
1283,1.546133975
1284,37030.59099999999
1285,37030.59099999999
1286,0.0
1287,0.0
1288,21600500000.0
1289,3466875000.0
1290,3824975000000.0
1291,322482720.75
1292,232871.55537500003
1293,17879750000.0
1294,1613575000.0
1295,0.0
1296,24809500000.0
1297,1447375000.0
1298,1.53664715
1299,383987538.25
1300,4552798.794
1301,6274800000.0
1302,0.0
1303,57874969.3
1304,13335500000.0
1305,4599300000000.0
1306,4000575000000.0
1307,41309500000.0
1308,37975250000000.0
1309,37781500000.0
1310,440324250000.0
1311,9004750000.0
1312,147202500000.0
1313,0.0
1314,1.5954732249999999
1315,0.0
1316,77951500000.0
1317,20244406.905
1318,1.5405431
1319,0.0
1320,1839650000.0
1321,1108643836.375
1322,0.0
1323,1.556006275
1324,5622000000000.0
1325,10251750000.0
1326,747875000000.0
1327,20556750000000.0
1328,33787500000.0
1329,89120000000.0
1330,1406150000000.0
1331,1593000000000.0
1332,69890000000.0
1333,28603250000.0
1334,9643250000.0
1335,4474775000.0
1336,426557.525
1337,24818500000.0
1338,531930000000.0
1339,259857500000.0
1340,7678875000000.0
1341,3153325000000.0
1342,429177500000.0
1343,164590000000.0
1344,1408650000.0
1345,1684105000000.0
1346,1181300000000.0
1347,39056.000609999996
1348,528820000000.0
1349,1207950000.0
1350,20602500000.0
1351,60209250000.0
1352,1.5329663999999998
1353,13086475000000.0
1354,0.0
1355,2875075000000.0
1356,11280500000.0
1357,6511850000000.0
1358,979455000000.0
1359,2295975000.0
1360,6305000000.0
1361,2280850000000.0
1362,105067500000.0
1363,765300000.0
1364,15296500000.0
1365,26025250000.0
1366,135320000000.0
1367,5320675000000.0
1368,132884750000.0
1369,785900000.0
1370,28009250000.0
1371,124647500000.0
1372,1730200000000.0
1373,0.0
1374,0.0
1375,0.0
1376,2548750000000.0
1377,0.0
1378,0.0
1379,963600000.0
1380,0.0
1381,0.0
1382,47994000000.0
1383,10516200000.0
1384,10310900000000.0
1385,0.0
1386,543642500000.0
1387,32796500000.0
1388,9728487500000.0
1389,71907195.165
1390,1374475000000.0
1391,3495000000.0
1392,126812500000.0
1393,14355000000.0
1394,54963500000000.0
1395,86989750000000.0
1396,76411000000000.0
1397,39583750000000.0
1398,21197500000.0
1399,108384500000000.0
1400,9700200000000.0
1401,7696500000.0
1402,0.0
1403,51381250000.0
1404,10251750000.0
1405,1233700000.0
1406,5157325000.0
1407,234357500000.0
1408,4689875000.0
1409,1045100000000.0
1410,105780000000000.0
1411,283105000000.0
1412,56211250000000.0
1413,53500172750000.0
1414,20269968.645
1415,0.0
1416,35250224000000.0
1417,2926875000000.0
1418,13650000031986.3
1419,97522500000.0
1420,15097000000000.0
1421,3629275000000.0
1422,0.0
1423,60502068425000.0
1424,3833414666666.6665
1425,69752893875000.0
1426,1943800000.0
1427,231827500000.0
1428,2572750000000.0
1429,4788618.668500001
1430,16413.5512025
1431,338962500000.0
1432,3446869.8600000003
1433,1.54226685
1434,765300000.0
1435,15367.0722625
1436,798700000000.0
1437,166785248.95
1438,76310000000.0
1439,384967500000.0
1440,459975000000.0
1441,14287750000.0
1442,1422889.2587500003
1443,267625000000.0
1444,4784300000000.0
1445,26000083017.0285
1446,255869165.375
1447,583269837.61
1448,11.224980849999998
1449,1502100000000.0
1450,4541025000000.0
1451,64547500000.0
1452,20244406.8975
1453,0.0
1454,78895000000.0
1455,786350000.0
1456,7727250000.0
1457,3990200000000.0
1458,18361512.6
1459,34250475675000.0
1460,18918000000.0
1461,45500687750000.0
1462,37598750000.0
1463,15989750000000.0
1464,9136525000000.0
1465,502487500000.0
1466,142140000000.0
1467,482275000000.0
1468,0.0
1469,531050000.0
1470,53765250000.0
1471,79815175000.0
1472,48506500000000.0
1473,362757500000.0
1474,4033050000000.0
1475,36252204750000.0
1476,2855600000000.0
1477,6611250000.0
1478,33599033.475
1479,0.0
1480,52197250000000.0
1481,6614250000.0
1482,2330575000.0
1483,783802500000.0
1484,370625970.0
1485,16634000000.0
1486,52481000000.0
1487,0.0
1488,1061195000000.0
1489,93090000000.0
1490,45118250000.0
1491,1171493.4285
1492,18423500000000.0
1493,24866750000.0
1494,0.0
1495,20137750000000.0
1496,0.0
1497,88545000000.0
1498,289614205.625
1499,9754875000000.0
1500,39729750000.0
1501,56986750000.0
1502,74382500000.0
1503,483455000000.0
1504,721187500000.0
1505,693525000.0
1506,1943800000.0
1507,676700000000.0
1508,373037883.95
1509,537030072.0
1510,2025425000000.0
1511,2029800000.0
1512,6341600000000.0
1513,146142500000.0
1514,28371000000.0
1515,1839650000.0
1516,72540000000.0
1517,4900000000.0
1518,20114186.3525
1519,7462000000.0
1520,7369000000.0
1521,394152456.25
1522,119907579.725
1523,11022113.58
1524,1.556299175
1525,6185975000000.0
1526,662648927.25
1527,0.0
1528,51500586.7725
1529,15189250000.0
1530,3360850000000.0
1531,5339150000.0
1532,49965750000000.0
1533,25473750000000.0
1534,29252750000.0
1535,54366750000.0
1536,9874000000000.0
1537,1.5409294
1538,0.0
1539,28009250000.0
1540,41756288688.5
1541,10116750000.0
1542,1229150000.0
1543,3298750000000.0
1544,980925000000.0
1545,708465006.7
1546,579075000.0
1547,0.0
1548,57191307.85
1549,23551000000000.0
1550,14433500000.0
1551,1444800000.0
1552,81800000000.0
1553,9121700000000.0
1554,388529.93525
1555,7411300000.0
1556,6119025000.0
1557,15447250000000.0
1558,397014451.09999996
1559,367077500000.0
1560,28010000000.0
1561,6840557.13
1562,765300000.0
1563,758100000000.0
1564,2044350000000.0
1565,26811250000.0
1566,16984250000.0
1567,431804317.5
1568,0.0
1569,16869500000.0
1570,1060002500000.0
1571,48994000000000.0
1572,1.53881695
1573,780525000.0
1574,1.5421177249999998
1575,59132000000000.0
1576,924365.14975
1577,11722.5530775
1578,0.0
1579,4396600000000.0
1580,814672500000.0
1581,0.0
1582,79220750000.0
1583,5163750000.0
1584,10251750000.0
1585,8659750000.0
1586,0.0
1587,34375750000000.0
1588,4494575000.0
1589,1705675000000.0
1590,5212625000.0
1591,458921025.375
1592,961675000000.0
1593,55516875000000.0
1594,40039289.616000004
1595,1993825000000.0
1596,13526000000.0
1597,66434550.637499996
1598,11439250000.0
1599,289614205.625
1600,103830000000.0
1601,231555000000.0
1602,20218779.122500002
1603,14399250000.0
1604,1732625000000.0
1605,890182500000.0
1606,72063000000.0
1607,4529250000.0
1608,336710000000.0
1609,3224600000000.0
1610,156987500000.0
1611,1182175000000.0
1612,1.5424905750000002
1613,0.0
1614,113301647.3
1615,16622500000.0
1616,595837500000.0
1617,63967500000.0
1618,328605000000.0
1619,10653250000000.0
1620,25905250000.0
1621,38748750000000.0
1622,343772360.25
1623,1219401034.0
1624,2124054.99025
1625,17209250000.0
1626,199180000000.0
1627,579170000000.0
1628,2266150000.0
1629,144782500000.0
1630,457122500000.0
1631,0.0
1632,16997750000.0
1633,12226829.89
1634,0.0
1635,25830000000.0
1636,63195.377275000006
1637,803397.75
1638,112000000.0
1639,25445750000.0
1640,3250025816.1517496
1641,370027500000.0
1642,35.5825159
1643,46471.76332500001
